"lap.distance";"r";"vmax";"slope";"vmin";"vdop"
1411;500;400;0;0;Inf
1416;500;400;0;0;Inf
1421;500;400;0;0;Inf
1426;500;400;0;0;Inf
1431;500;400;0;0;Inf
1436;500;400;0;0;Inf
1441;500;400;0;0;Inf
1446;500;400;0;0;Inf
1451;500;400;0;0;Inf
1456;500;400;0;0;Inf
1461;500;400;0;0;Inf
1466;500;400;0;0;Inf
1471;500;400;0;0;Inf
1476;500;400;0;0;Inf
1481;500;400;0;0;Inf
1486;500;400;0;0;Inf
1491;500;400;0;0;Inf
1496;500;400;0;0;Inf
1501;500;400;0;0;Inf
1506;500;400;0;0;Inf
1511;500;400;0;0;Inf
1516;500;400;0;0;Inf
1521;500;400;0;0;Inf
1526;500;400;0;0;Inf
1531;500;400;0;0;Inf
1536;500;400;0;0;Inf
1541;500;400;0;0;Inf
1546;500;400;0;0;Inf
1551;500;400;0;0;Inf
1556;500;400;0;0;Inf
1561;500;400;0;0;Inf
1566;500;400;0;0;Inf
1571;500;400;0;0;Inf
1576;500;400;0;0;Inf
1581;500;400;0;0;Inf
1586;500;400;0;0;Inf
1591;500;400;0;0;Inf
1596;500;400;0;0;Inf
1601;500;400;0;0;Inf
1606;500;400;0;0;Inf
1611;500;400;0;0;Inf
1616;500;400;0;0;Inf
1621;500;400;0;0;Inf
1626;500;400;0;0;Inf
1631;500;400;0;0;Inf
1636;500;400;0;0;Inf
1641;500;400;0;0;Inf
1646;500;400;0;0;Inf
1651;500;400;0;0;Inf
1656;500;400;0;0;Inf
1661;500;400;0;0;Inf
1666;500;400;0;0;Inf
1671;500;400;0;0;Inf
1676;500;400;0;0;Inf
1681;500;400;0;0;Inf
1686;500;400;0;0;Inf
1691;500;400;0;0;Inf
1696;500;400;0;0;Inf
1701;500;400;0;0;Inf
1706;500;400;0;0;Inf
1711;500;400;0;0;Inf
1716;500;400;0;0;Inf
1721;500;400;0;0;Inf
1726;500;400;0;0;Inf
1731;500;400;0;0;Inf
1736;500;400;0;0;Inf
1741;500;400;0;0;Inf
1746;500;400;0;0;Inf
1751;500;400;0;0;Inf
1756;500;400;0;0;Inf
1761;500;400;0;0;Inf
1766;500;400;0;0;Inf
1771;500;400;0;0;Inf
1776;500;400;0;0;Inf
1781;500;400;0;0;Inf
1786;500;400;0;0;Inf
1791;500;400;0;0;Inf
1796;500;400;0;0;Inf
1801;500;400;0;0;Inf
1806;500;400;0;0;Inf
1811;500;400;0;0;Inf
1816;500;400;0;0;Inf
1821;500;400;0;0;Inf
1826;500;400;0;0;Inf
1831;500;400;0;0;Inf
1836;500;400;0;0;Inf
1841;500;400;0;0;Inf
1846;500;400;0;0;Inf
1851;500;400;0;0;Inf
1856;500;400;0;0;Inf
1861;500;400;0;0;Inf
1866;500;400;0;0;Inf
1871;483,286931739375;400;0;0;433,47659574684
1876;447,436270182397;400;0;0;417,08898552577
1881;417,828300710964;400;0;0;403,052903867995
1886;394,148327092086;400;0;0;391,465029821826
1891;369,83462288647;400;0;0;379,198762363829
1896;348,213369045538;400;0;0;367,947493380381
1901;332,370784909249;400;0;0;359,479848075961
1906;315,023697644374;400;0;0;349,97316131974
1911;299,29710773505;400;0;0;341,125659379923
1916;287,937871833493;400;0;0;334,589665962447
1921;275,117455132719;400;0;0;327,056060264293
1926;263,793183915647;400;0;0;320,254258217441
1931;255,035018203383;400;0;0;314,89302163985
1936;246,13296776084;400;0;0;309,348505516698
1941;238,113847070659;400;0;0;304,267421425746
1946;230,837847772289;400;0;0;299,582635033918
1951;225,110921269411;400;0;0;295,843076967414
1956;214,14471994612;400;0;0;288,547166187872
1961;203,194980284905;400;0;0;281,073314874911
1966;194,430012884565;400;0;0;274,944338020478
1971;183,827167845371;400;0;0;267,342482329839
1976;173,348933559016;400;0;0;259,611373725701
1981;164,800263821398;400;0;0;253,129102581587
1986;155,679178510339;400;0;0;246,024520332466
1991;146,649935318907;400;0;0;238,783363850983
1996;138,266194908027;400;0;0;231,857491964872
2001;131,427193918406;400;0;0;226,050642546037
2006;123,922647065532;400;0;0;219,501993565158
2011;116,967862351695;400;0;0;213,253616340589
2016;111,878140088177;400;0;0;208,562270955902
2021;106,302127068306;400;0;0;203,298467786054
2026;101,3651530329;400;0;0;198,521463573064
2031;98,0772555360984;400;0;0;195,275285052756
2036;94,5288816730622;400;0;0;191,710274097364
2041;91,5945981496196;400;0;0;188,711366272867
2046;89,6887661991718;400;0;0;186,737763449812
2051;89,1611336557027;400;0;0;186,187670819894
2056;91,1933086931877;400;0;0;188,297526324462
2061;92,4333176753017;400;0;0;189,573399801125
2066;92,811312661602;400;0;0;189,960623190257
2071;92,3435960534334;400;0;0;189,481371500142
2076;92,6107569317543;400;0;0;189,755269479048
2081;97,0525546208396;400;0;0;194,252498662392
2086;102,601042736649;400;0;0;199,728028618943
2091;107,871542265125;400;0;0;204,79369041228
2096;112,412354698253;400;0;0;209,059617111198
2101;116,38249832754;400;0;0;212,719334687159
2106;117,654019996459;400;0;0;213,878196585401
2111;119,359808657136;400;0;0;215,423057275433
2116;120,773994372293;400;0;0;216,695475291819
2121;122,812610243013;400;0;0;218,516687835239
2126;124,772972424142;400;0;0;220,253789248917
2131;126,401473619126;400;0;0;221,686474425293
2136;128,453204972841;400;0;0;223,478424223549
2141;130,648702284543;400;0;0;225,380157618701
2146;132,375373803301;400;0;0;226,864596917905
2151;134,289775317634;400;0;0;228,499156767582
2156;136,084918471476;400;0;0;230,021338796447
